Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C9",0603,3,100n,C14663
C4,0603,1,0.1uF/15V,C14663
C5,0805,1,22uF/15V,C45783
D1,0805,1,LED Red,C84256
D2,0805,1,LED Green,C2297
D3,0805,1,LED Green,
D4,0805,1,LED Green,C2296
"J1, J10, J12, J4, J7",JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,5,Conn_01x06_Pin,C160255
"J11, J3",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,Conn_01x02_Pin,
J14,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,JST_SHBM04B-SRSS-TB,C160390
"J16, J5",AMPHENOL_F305-1A7H1-21022-E100,2,Conn_01x22_Female,C3168287
"J2, J6",AMPHENOL_10164227-1001A1RLF,2,10164227-1001A1RLF,C7435219
J8,PinHeader_2x20_P2.54mm_Vertical,1,THD-20-R,
MODULE1,Raspberry-Pi-5-Compute-Module,1,ComputeModule5-CM5,
"R1, R10, R12, R4, R5",0603,5,1k,C21190
R11,0603,1,10K 1%,C25804
R13,0603,1,30k,C22984
R14,0603,1,2.2K 1%,LCSC Part #
"R2, R3",0603,2,470R,C23179
"R6, R7, R8",0603,3,2.2K 1%,C4190
R9,0603,1,4k7,C23162
SW1,SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm,1,SW_SPST,
"U1, U2",USON-10_2.5x1.0mm_P0.5mm,2,TPD4EUSB30,C90627
U3,TRJG0926HENL,1,MagJack-A70-112-331N126,C22457393
U4,YAAJ_BlackPill_2,1,YAAJ_BlackPill,
U7,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,DRV8871DDA,C75864
U8,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
