Designator,Mid X,Mid Y,Rotation,Layer
C1,136.58,-32.84,0.0,top
C18,121.14,-79.77,90.0,top
C4,165.59,-117.8,270.0,top
C5,163.05,-117.8,270.0,top
C9,121.267,-85.415,270.0,top
D1,159.1,-25.5,90.0,top
D2,157.1,-25.5,90.0,top
D3,108.821,-106.7,180.0,top
D4,108.821,-108.91,180.0,top
J1,165.59,-94.23,0.0,top
J10,165.59,-84.07,0.0,top
J11,172.75,-35.8,270.0,top
J12,165.59,-99.31,0.0,top
J14,149.01,-27.63,0.0,top
J16,164.32,-54.3,90.0,top
J2,152.1,-75.98,90.0,top
J3,143.79,-36.38,270.0,top
J4,165.59,-89.15,0.0,top
J5,164.32,-72.08,90.0,top
J6,118.1,-75.98,90.0,top
J7,173.51,-112.72,270.0,top
J8,109.71,-75.382,180.0,top
MODULE1,118.6,-97.48,0.0,top
R1,157.1,-28.9,270.0,top
R10,159.1,-28.9,270.0,top
R11,149.01,-31.44,180.0,top
R12,128.76,-113.99,270.0,top
R13,150.35,-116.53,90.0,top
R14,159.7,-67.4,270.0,top
R2,118.6,-44.14,0.0,top
R3,122.41,-44.14,0.0,top
R4,112.15,-106.7,0.0,top
R5,112.15,-108.91,0.0,top
R6,159.24,-47.95,270.0,top
R7,157.589,-47.95,270.0,top
R8,158.478,-50.998,0.0,top
R9,131.0,-114.02,270.0,top
SW1,163.7625,-35.2175,90.0,top
U1,130.63,-42.08,180.0,top
U2,136.78,-29.53,90.0,top
U3,126.73,-32.71,270.0,top
U4,140.96,-115.26,90.0,top
U7,156.7,-116.53,0.0,top
U8,117.33,-115.26,0.0,top
